#  site  atom  site  atom  shell  is    irs        x             y             z             r          Joj(mRy)       Joj(meV)
    2     Co    2     Co     7     6    63     -7.247103    -14.494205      7.247103     17.751703      0.0031190      0.0424365
    2     Co    2     Co     7     7    64     -7.247103     -7.247103    -14.494205     17.751703      0.0031190      0.0424357
    2     Co    2     Co     7     8    65     -7.247103     -7.247103     14.494205     17.751703      0.0031186      0.0424310
    2     Co    2     Co     7     9    66     -7.247103      7.247103    -14.494205     17.751703      0.0031190      0.0424364
    2     Co    2     Co     7    10    67     -7.247103      7.247103     14.494205     17.751703      0.0031187      0.0424317
    2     Co    2     Co     7    11    68     -7.247103     14.494205     -7.247103     17.751703      0.0031186      0.0424311
    2     Co    2     Co     7    12    69     -7.247103     14.494205      7.247103     17.751703      0.0031187      0.0424318
    2     Co    2     Co     7    13    70      7.247103    -14.494205     -7.247103     17.751703      0.0031190      0.0424365
    2     Co    2     Co     7    14    71      7.247103    -14.494205      7.247103     17.751703      0.0031191      0.0424372
    2     Co    2     Co     7    15    72      7.247103     -7.247103    -14.494205     17.751703      0.0031190      0.0424364
    2     Co    2     Co     7    16    73      7.247103     -7.247103     14.494205     17.751703      0.0031187      0.0424317
    2     Co    2     Co     7    17    74      7.247103      7.247103    -14.494205     17.751703      0.0031191      0.0424371
    2     Co    2     Co     7    18    75      7.247103      7.247103     14.494205     17.751703      0.0031187      0.0424324
    2     Co    2     Co     7    19    76      7.247103     14.494205     -7.247103     17.751703      0.0031187      0.0424318
    2     Co    2     Co     7    20    77      7.247103     14.494205      7.247103     17.751703      0.0031187      0.0424325
    2     Co    2     Co     7    21    78     14.494205     -7.247103     -7.247103     17.751703      0.0031186      0.0424310
    2     Co    2     Co     7    22    79     14.494205     -7.247103      7.247103     17.751703      0.0031187      0.0424317
    2     Co    2     Co     7    23    80     14.494205      7.247103     -7.247103     17.751703      0.0031187      0.0424317
    2     Co    2     Co     7    24    81     14.494205      7.247103      7.247103     17.751703      0.0031187      0.0424324
    2     Co    2     Co     8     1    82    -14.494205    -14.494205      0.000000     20.497902     -0.0071573     -0.0973802
    2     Co    2     Co     8     2    83    -14.494205      0.000000    -14.494205     20.497902     -0.0071574     -0.0973808
    2     Co    2     Co     8     3    84    -14.494205      0.000000     14.494205     20.497902     -0.0071569     -0.0973748
    2     Co    2     Co     8     4    85    -14.494205     14.494205      0.000000     20.497902     -0.0071569     -0.0973742
    2     Co    2     Co     8     5    86      0.000000    -14.494205    -14.494205     20.497902     -0.0071573     -0.0973802
    2     Co    2     Co     8     6    87      0.000000    -14.494205     14.494205     20.497902     -0.0071569     -0.0973743
    2     Co    2     Co     8     7    88      0.000000     14.494205    -14.494205     20.497902     -0.0071569     -0.0973743
    2     Co    2     Co     8     8    89      0.000000     14.494205     14.494205     20.497902     -0.0071564     -0.0973683
    2     Co    2     Co     8     9    90     14.494205    -14.494205      0.000000     20.497902     -0.0071569     -0.0973742
    2     Co    2     Co     8    10    91     14.494205      0.000000    -14.494205     20.497902     -0.0071569     -0.0973748
    2     Co    2     Co     8    11    92     14.494205      0.000000     14.494205     20.497902     -0.0071565     -0.0973689
    2     Co    2     Co     8    12    93     14.494205     14.494205      0.000000     20.497902     -0.0071564     -0.0973683
    2     Co    2     Co     9     1    94    -21.741308      0.000000      0.000000     21.741308     -0.0561190     -0.7635377
    2     Co    2     Co     9     2    95    -14.494205    -14.494205     -7.247103     21.741308      0.0018874      0.0256797
    2     Co    2     Co     9     3    96    -14.494205    -14.494205      7.247103     21.741308      0.0018875      0.0256807
    2     Co    2     Co     9     4    97    -14.494205     -7.247103    -14.494205     21.741308      0.0018874      0.0256796
    2     Co    2     Co     9     5    98    -14.494205     -7.247103     14.494205     21.741308      0.0018875      0.0256805
    2     Co    2     Co     9     6    99    -14.494205      7.247103    -14.494205     21.741308      0.0018875      0.0256807
    2     Co    2     Co     9     7   100    -14.494205      7.247103     14.494205     21.741308      0.0018876      0.0256815
    2     Co    2     Co     9     8   101    -14.494205     14.494205     -7.247103     21.741308      0.0018875      0.0256805
    2     Co    2     Co     9     9   102    -14.494205     14.494205      7.247103     21.741308      0.0018876      0.0256815
    2     Co    2     Co     9    10   103     -7.247103    -14.494205    -14.494205     21.741308      0.0018874      0.0256796
    2     Co    2     Co     9    11   104     -7.247103    -14.494205     14.494205     21.741308      0.0018875      0.0256805
    2     Co    2     Co     9    12   105     -7.247103     14.494205    -14.494205     21.741308      0.0018875      0.0256805
    2     Co    2     Co     9    13   106     -7.247103     14.494205     14.494205     21.741308      0.0018875      0.0256814
    2     Co    2     Co     9    14   107      0.000000    -21.741308      0.000000     21.741308     -0.0561192     -0.7635407
    2     Co    2     Co     9    15   108      0.000000      0.000000    -21.741308     21.741308     -0.0561190     -0.7635374
    2     Co    2     Co     9    16   109      0.000000      0.000000     21.741308     21.741308     -0.0561205     -0.7635584
    2     Co    2     Co     9    17   110      0.000000     21.741308      0.000000     21.741308     -0.0561208     -0.7635616
    2     Co    2     Co     9    18   111      7.247103    -14.494205    -14.494205     21.741308      0.0018875      0.0256807
    2     Co    2     Co     9    19   112      7.247103    -14.494205     14.494205     21.741308      0.0018876      0.0256815
    2     Co    2     Co     9    20   113      7.247103     14.494205    -14.494205     21.741308      0.0018876      0.0256815
    2     Co    2     Co     9    21   114      7.247103     14.494205     14.494205     21.741308      0.0018876      0.0256824
    2     Co    2     Co     9    22   115     14.494205    -14.494205     -7.247103     21.741308      0.0018875      0.0256805
    2     Co    2     Co     9    23   116     14.494205    -14.494205      7.247103     21.741308      0.0018876      0.0256815
    2     Co    2     Co     9    24   117     14.494205     -7.247103    -14.494205     21.741308      0.0018875      0.0256805
    2     Co    2     Co     9    25   118     14.494205     -7.247103     14.494205     21.741308      0.0018875      0.0256813
    2     Co    2     Co     9    26   119     14.494205      7.247103    -14.494205     21.741308      0.0018876      0.0256815
    2     Co    2     Co     9    27   120     14.494205      7.247103     14.494205     21.741308      0.0018876      0.0256824
    2     Co    2     Co     9    28   121     14.494205     14.494205     -7.247103     21.741308      0.0018875      0.0256814
    2     Co    2     Co     9    29   122     14.494205     14.494205      7.247103     21.741308      0.0018876      0.0256824
    2     Co    2     Co     9    30   123     21.741308      0.000000      0.000000     21.741308     -0.0561205     -0.7635587
    2     Co    2     Co    10     1   124    -21.741308     -7.247103      0.000000     22.917351     -0.0019842     -0.0269969
    2     Co    2     Co    10     2   125    -21.741308      0.000000     -7.247103     22.917351     -0.0019843     -0.0269975
    2     Co    2     Co    10     3   126    -21.741308      0.000000      7.247103     22.917351     -0.0019844     -0.0269993
    2     Co    2     Co    10     4   127    -21.741308      7.247103      0.000000     22.917351     -0.0019844     -0.0269987
    2     Co    2     Co    10     5   128     -7.247103    -21.741308      0.000000     22.917351     -0.0019842     -0.0269967
    2     Co    2     Co    10     6   129     -7.247103      0.000000    -21.741308     22.917351     -0.0019843     -0.0269975
    2     Co    2     Co    10     7   130     -7.247103      0.000000     21.741308     22.917351     -0.0019839     -0.0269928
    2     Co    2     Co    10     8   131     -7.247103     21.741308      0.000000     22.917351     -0.0019839     -0.0269920
